ระดับ,ชั้น,ภาคเรียนที่,รหัสวิชา,ชื่อวิชา,Code(English),Titles(English),หน่วยกิต,ประเภทวิชา,กลุ่มสาระ
มัธยมปลาย,ม.4,1,A31901,แนะแนว,A31901,Counselling Activities,20,9,9
มัธยมปลาย,ม.4,2,A31902,แนะแนว,A31902,Counselling Activities,20,9,9
มัธยมปลาย,ม.4,1,A31903,การศึกษาค้นคว้า,A31903,Research Studies,10,9,9
มัธยมปลาย,ม.4,2,A31904,การศึกษาค้นคว้า,A31904,Research Studies,10,9,9
มัธยมปลาย,ม.4,1,A31905,กิจกรรมเพื่อสังคมและสาธารณะประโยชน์,A31905,Activities for Social and Public Interest,20,9,9
มัธยมปลาย,ม.4,2,A31906,กิจกรรมเพื่อสังคมและสาธารณะประโยชน์,A31906,Activities for Social and Public Interest,20,9,9
มัธยมปลาย,ม.4,1,A31911,ชุมนุมภาษาไทย,A31911,Thai Studies Club,20,9,9
มัธยมปลาย,ม.4,1,A31912,ชุมนุมคณิตศาสตร์,A31912,Mathematics Activity,20,9,9
มัธยมปลาย,ม.4,1,A31913,ชุมนุมวิทยาศาสตร์,A31913,Science Club,20,9,9
มัธยมปลาย,ม.4,1,A31914,ชุมนุมสังคมศึกษา,A31914,Social Studies Club,20,9,9
มัธยมปลาย,ม.4,1,A31915,ชุมนุมสุขศึกษาพลศึกษา,A31915,Health & Physical Education Club,20,9,9
มัธยมปลาย,ม.4,1,A31916,ชุมนุมศิลปศึกษา,A31916,Arts & Cultural Club,20,9,9
มัธยมปลาย,ม.4,1,A31917,ชุมนุมการงานอาชีพ,A31917,Career Education Club,20,9,9
มัธยมปลาย,ม.4,1,A31918,ชุมนุมภาษาต่างประเทศ,A31918,Foreign Languages Club,20,9,9
มัธยมปลาย,ม.4,1,A31919,ชุมนุมส่งเสริมวิชาการ,A31919,Academic Activity,20,9,9
มัธยมปลาย,ม.4,2,A31921,ชุมนุมภาษาไทย,A31921,Thai Studies Club,20,9,9
มัธยมปลาย,ม.4,2,A31922,ชุมนุมคณิตศาสตร์,A31922,Mathematics Activity,20,9,9
มัธยมปลาย,ม.4,2,A31923,ชุมนุมวิทยาศาสตร์,A31923,Science Club,20,9,9
มัธยมปลาย,ม.4,2,A31924,ชุมนุมสังคมศึกษา,A31924,Social Studies Club,20,9,9
มัธยมปลาย,ม.4,2,A31925,ชุมนุมสุขศึกษาพลศึกษา,A31925,Health & Physical Education Club,20,9,9
มัธยมปลาย,ม.4,2,A31926,ชุมนุมศิลปศึกษา,A31926,Arts & Cultural Club,20,9,9
มัธยมปลาย,ม.4,2,A31927,ชุมนุมการงานอาชีพ,A31927,Career Education Club,20,9,9
มัธยมปลาย,ม.4,2,A31928,ชุมนุมภาษาต่างประเทศ,A31928,Foreign Languages Club,20,9,9
มัธยมปลาย,ม.4,2,A31929,กิจกรรมชุมนุม,A31929,Assembly Activities,20,9,9
มัธยมปลาย,ม.5,1,A32901,แนะแนว,A32901,Counselling Activities,20,9,9
มัธยมปลาย,ม.5,2,A32902,แนะแนว,A32902,Counselling Activities,20,9,9
มัธยมปลาย,ม.5,1,A32903,การศึกษาค้นคว้า,A32903,Research studies,10,9,9
มัธยมปลาย,ม.5,2,A32904,การศึกษาค้นคว้า,A32904,Research studies,10,9,9
มัธยมปลาย,ม.5,1,A32905,กิจกรรมเพื่อสังคมและสาธารณะประโยชน์,A32905,Activities for Social and Public Interest,20,9,9
มัธยมปลาย,ม.5,2,A32906,กิจกรรมเพื่อสังคมและสาธารณะประโยชน์,A32906,Activities for Social and Public Interest,20,9,9
มัธยมปลาย,ม.5,1,A32911,ชุมนุมภาษาไทย,A32911,Thai Studies Club,20,9,9
มัธยมปลาย,ม.5,1,A32912,ชุมนุมคณิตศาสตร์,A32912,Mathematics Activity,20,9,9
มัธยมปลาย,ม.5,1,A32913,ชุมนุมวิทยาศาสตร์,A32913,Science Club,20,9,9
มัธยมปลาย,ม.5,1,A32914,ชุมนุมสังคมศึกษา,A32914,Social Studies Club,20,9,9
มัธยมปลาย,ม.5,1,A32915,ชุมนุมสุขศึกษาพลศึกษา,A32915,Health & Physical Education Club,20,9,9
มัธยมปลาย,ม.5,1,A32916,ชุมนุมศิลปศึกษา,A32916,Arts & Cultural Club,20,9,9
มัธยมปลาย,ม.5,1,A32917,ชุมนุมการงานอาชีพ,A32917,Career Education Club,20,9,9
มัธยมปลาย,ม.5,1,A32918,ชุมนุมภาษาต่างประเทศ,A32918,Foreign Languages Club,20,9,9
มัธยมปลาย,ม.5,1,A32919,ชุมนุมส่งเสริมวิชาการ,A32919,Academic Activity,20,9,9
มัธยมปลาย,ม.5,2,A32921,ชุมนุมภาษาไทย,A32921,Thai Studies Club,20,9,9
มัธยมปลาย,ม.5,2,A32922,ชุมนุมคณิตศาสตร์,A32922,Mathematics Activity,20,9,9
มัธยมปลาย,ม.5,2,A32923,ชุมนุมวิทยาศาสตร์,A32923,Science Club,20,9,9
มัธยมปลาย,ม.5,2,A32924,ชุมนุมสังคมศึกษา,A32924,Social Studies Club,20,9,9
มัธยมปลาย,ม.5,2,A32925,ชุมนุมสุขศึกษาพลศึกษา,A32925,Health & Physical Education Club,20,9,9
